date,true_mag,true_dir,pred_online_mag,pred_online_dir,pred_lstm_mag,correct_online_dir,rolling_acc_online
2023-06-20,-0.001374697248215262,0,-0.00034071634860515735,0,0.00033871139748953283,1,0.82
2023-06-21,-0.001775912271351765,0,-0.0007415069666904155,0,0.0003359444672241807,1,0.82
2023-06-22,-0.0018652344564895618,0,-0.00097996276949001,0,0.0003333970089443028,1,0.82
2023-06-23,-0.001184260732999487,0,-0.0012496449226989655,0,0.0003336523368488997,1,0.82
2023-06-26,-0.0009726128006454227,0,-0.0011612445194893167,0,0.0003369356272742152,1,0.82
2023-06-27,-0.0010366776962787982,0,-0.0011653426324590799,0,0.00033768921275623143,1,0.82
2023-06-28,-0.0013703111300050752,0,-0.0012067363433684976,0,0.00033594260457903147,1,0.82
2023-06-29,-0.0010406215024267862,0,-0.0012702821152244606,0,0.0003326152509544045,1,0.82
2023-06-30,-0.0008957289548987557,0,-0.0011915847956305732,0,0.0002708961837925017,1,0.82
2023-07-03,-0.0004708399512585171,0,-0.0010390061091936978,0,0.00013269827468320727,1,0.82
2023-07-05,-0.001132026522191798,0,-0.0009065589405037364,0,4.919845378026366e-05,1,0.82
2023-07-06,-0.0005606270457139129,0,-0.0010599499388371878,0,-0.0001444535155314952,1,0.82
2023-07-07,-0.00046534110101537074,0,-0.000952210748630047,0,-0.00026048163999803364,1,0.82
2023-07-10,-0.0005371912927009115,0,-0.0007753241766220646,0,-0.0004639193357434124,1,0.82
2023-07-11,0.0008487356568411819,1,-0.0008135937875553597,0,-0.0005144795868545771,0,0.8
2023-07-12,0.0016812942552899557,1,-0.00016796832019774565,1,-0.00041633020737208426,1,0.8
2023-07-13,0.001951535232194157,1,0.00042504849525648906,1,-0.0002573690435383469,1,0.8
2023-07-14,0.001662739016784709,1,0.0008406289150908278,1,3.1888484954833984e-05,1,0.8
2023-07-17,0.0019245385314849983,1,0.0010595056363674738,1,4.182470729574561e-05,1,0.8
2023-07-18,0.0020385900740438334,1,0.0012778567735517213,1,0.00012103655899409205,1,0.8
2023-07-19,0.0014277770496076148,1,0.0015604384495179328,1,0.00022949502454139292,1,0.8
2023-07-20,0.0012411338568112384,1,0.0014177140555332347,1,0.00032010741415433586,1,0.8
2023-07-21,0.0008580745432187342,1,0.0013356570585856713,1,0.00032183708390221,1,0.8
2023-07-24,0.0011497550611863083,1,0.0011538425185929878,1,0.0003221504157409072,1,0.8
2023-07-25,0.0013021013193275088,1,0.0011363294730171501,1,0.0003235783369746059,1,0.82
2023-07-26,0.0004915211521598906,1,0.0012165546901992223,1,0.00032636660034768283,1,0.84
2023-07-27,0.0006507190864364354,1,0.0008839931305205825,1,0.00032747333170846105,1,0.86
2023-07-28,0.0012607584400183836,1,0.0008173194199740037,1,0.00032992209889926016,1,0.86
2023-07-31,0.0003792283142254327,1,0.0010198395916970922,1,0.00033248093677684665,1,0.86
2023-08-01,-0.00022335857649580237,0,0.0007224712444497019,0,0.0003345342993270606,1,0.86
2023-08-02,-0.0004350662573822106,0,0.0003903295394855034,0,0.00033622526098042727,1,0.86
2023-08-03,-0.00038135054910504174,0,0.0001685200493682522,0,0.0003362526185810566,1,0.86
2023-08-04,-0.0009882281422155526,0,2.4795562865079506e-05,0,0.0003365671436768025,1,0.86
2023-08-07,-0.0015124538611478444,0,-0.0003029440631338674,0,0.00033454567892476916,1,0.86
2023-08-08,-0.0015550697136146319,0,-0.0007008580180039817,0,0.0003341511182952672,1,0.86
2023-08-09,-0.001383479174555835,0,-0.0008727532165779771,0,0.0003339379618410021,1,0.86
2023-08-10,-0.0014365531241525842,0,-0.0009730527046039224,0,0.0003340484690852463,1,0.86
2023-08-11,-0.0014331807803134033,0,-0.001091032940544409,0,0.0002253753482364118,1,0.88
2023-08-14,-0.0014549101463912084,0,-0.0011784849081472155,0,0.00015461124712601304,1,0.9
2023-08-15,-0.0015629154875290707,0,-0.001255091158894292,0,-3.164546797052026e-06,1,0.9
2023-08-16,-0.001266373468829518,0,-0.001350196184845328,0,-9.081434109248221e-05,1,0.9
2023-08-17,-0.0011955405461164803,0,-0.0012692843678050777,0,-0.00010747549822553992,1,0.9
2023-08-18,-0.000355574199824904,0,-0.0012195160802469889,0,-1.3347889762371778e-06,1,0.92
2023-08-21,-0.0001914062647854209,0,-0.0008897658814828704,0,0.00015874252130743116,1,0.92
2023-08-22,0.0010603580409749291,1,-0.0006705720834348271,0,0.0003396668762434274,0,0.9
2023-08-23,0.0008256622676419134,1,-8.676067260659435e-05,1,0.0003377653192728758,1,0.92
2023-08-24,0.0008111685808358526,1,0.0001916851215806288,1,0.0003312713233754039,1,0.94
2023-08-25,0.0008090012222528031,1,0.0002440071099328601,1,0.00032597960671409965,1,0.94
2023-08-28,0.0014927920387204363,1,0.00043974133620382726,1,0.00032041541999205947,1,0.94
2023-08-29,0.0013876427480452591,1,0.0007398385041718642,1,0.0003190533898305148,1,0.96
2023-08-30,0.0009986501359067201,1,0.0009388341760737634,1,0.0003177998005412519,1,0.96
2023-08-31,0.0006518570904705534,1,0.0008262329237220013,1,0.0003180394123774022,1,0.96
2023-09-01,-0.0002521726441313543,0,0.0007408890979949774,1,0.0003179669729433954,0,0.94
2023-09-05,-0.0007058257318918182,0,0.00039348892923883437,0,0.0003153652942273766,1,0.94
2023-09-06,-0.001020166075640927,0,6.460259320002762e-05,0,0.00031343448790721595,1,0.94
2023-09-07,-0.0010655857523285128,0,-0.0002246501259064692,0,0.0003144521324429661,1,0.94
2023-09-08,-0.0007561433289671182,0,-0.000496172167636952,0,0.00031682002008892596,1,0.94
2023-09-11,-0.000701587580415497,0,-0.0005580608323094774,0,0.00032055674819275737,1,0.94
2023-09-12,-0.0009632725857987579,0,-0.0006294749028981193,0,0.00032320592436008155,1,0.94
2023-09-13,-0.0011503036759905605,0,-0.0007599883149813354,0,0.0003248555294703692,1,0.94
2023-09-14,-0.0006170943408156937,0,-0.0008761977568662563,0,0.0003259150544181466,1,0.94
2023-09-15,-0.0004583243288209804,0,-0.0007259728890423965,0,0.00032639355049468577,1,0.94
2023-09-18,-0.0004944484948068428,0,-0.000613106151115213,0,0.0003248726425226778,1,0.94
2023-09-19,2.942583511411634e-05,1,-0.0006242199730265975,0,0.0003244794497732073,0,0.92
2023-09-20,-0.00014986848363673921,0,-0.0003832968621820354,1,0.00021061295410618186,0,0.92
2023-09-21,5.564490545562073e-05,1,-0.000369341315749051,0,-8.797840564511716e-05,0,0.9
2023-09-22,-0.0005420587077423766,0,-0.0002688983416000745,1,-0.0002481363189872354,0,0.88
2023-09-25,-0.0007832906898728176,0,-0.00039111530387495074,0,-0.00035249171196483076,1,0.88
2023-09-26,-0.0013853754292133535,0,-0.0005757428247530804,0,-0.00041942091775126755,1,0.88
2023-09-27,-0.0012937641848130843,0,-0.0008200608143267333,0,-0.000499002868309617,1,0.88
2023-09-28,-0.001625277697023031,0,-0.0010000856951612302,0,-0.0005141310393810272,1,0.88
2023-09-29,-0.002930073940509148,0,-0.0011925161909962095,0,-0.00047077887575142086,1,0.88
2023-10-02,-0.002900526391291569,0,-0.0018136618863898754,1,-0.000503063783980906,0,0.86
2023-10-03,-0.003115161603896577,0,-0.002055648903859298,0,-0.0006376433884724975,1,0.86
2023-10-04,-0.0031724411793728757,0,-0.0022592924615699814,0,-0.0007208224851638079,1,0.86
2023-10-05,-0.002152644364293188,0,-0.002514127165993562,0,-0.0007918516639620066,1,0.86
2023-10-06,-0.0018191869602963706,0,-0.0022035142084879697,0,-0.0008264807984232903,1,0.86
2023-10-09,-0.0017185070210615772,0,-0.0020209315842735203,0,-0.0007608196465298533,1,0.86
2023-10-10,-0.0014230204462443163,0,-0.001904885625410316,0,-0.0008124872110784054,1,0.86
2023-10-11,-0.0016042246400241877,0,-0.0016697040200968653,0,-0.0007948476122692227,1,0.86
2023-10-12,-0.00028807087591320446,0,-0.0016541955099992267,0,-0.0007227984024211764,1,0.86
2023-10-13,-0.0004379878618100408,0,-0.0010562617942396837,0,-0.00037042287294752896,1,0.86
2023-10-16,-8.099085416046758e-05,0,-0.0008642855700748699,0,-0.00017075057257898152,1,0.86
2023-10-17,3.1521969839465314e-05,1,-0.0006941549842757901,0,-3.8494617911055684e-05,0,0.84
2023-10-18,-4.6865978487464766e-05,0,-0.0004314150718269529,1,-7.07155850250274e-05,0,0.82
2023-10-19,0.0005847193417911623,1,-0.00044439846986985704,0,-0.0003079559828620404,0,0.8
2023-10-20,0.00018751875698908016,1,-4.6618082540761694e-05,1,-0.0002668102679308504,1,0.8
2023-10-23,5.68038527624104e-05,1,-6.29311871816275e-05,1,-0.00021644242224283516,1,0.8
2023-10-24,-8.47272665422949e-05,0,-0.00012055985025487872,0,-6.793197826482356e-05,1,0.8
2023-10-25,-0.00020422927617069764,0,-0.00011263202747654224,0,-1.6109697753563523e-05,1,0.8
2023-10-26,-0.0002209870931179081,0,-0.00020414161479140805,0,-4.29747742600739e-05,1,0.8
2023-10-27,0.0004809346723588792,1,-0.0002104662460187705,0,-1.5525729395449162e-06,0,0.78
2023-10-30,-0.00013267343223732908,0,1.6090858665696343e-05,1,7.506701513193548e-05,0,0.76
2023-10-31,-0.0003402729999306686,0,-0.00013558574155361482,0,0.00022727267059963197,1,0.76
2023-11-01,-0.00024019270066877318,0,-0.0003223513197518278,0,0.0002578211424406618,1,0.78
2023-11-02,0.00037829124859123375,1,-0.00031023917579941845,0,0.0003126109077129513,0,0.76
2023-11-03,0.00029579267248047714,1,-0.00011928845186948088,1,0.0003139880718663335,1,0.76
2023-11-06,-0.0005833381686149997,0,-6.17945958797314e-05,1,0.0003158086910843849,0,0.74
